symbol,name
PTRO.JK,Petrosea Tbk.
PTSN.JK,Sat Nusapersada Tbk
PTSP.JK,Pioneerindo Gourmet Internatio
PUDP.JK,Pudjiadi Prestige Tbk.
PWON.JK,Pakuwon Jati Tbk.
PYFA.JK,Pyridam Farma Tbk
RAJA.JK,Rukun Raharja Tbk.
RALS.JK,Ramayana Lestari Sentosa Tbk.
RANC.JK,Supra Boga Lestari Tbk.
RBMS.JK,Ristia Bintang Mahkotasejati T
RDTX.JK,Roda Vivatex Tbk
RELI.JK,Reliance Sekuritas Indonesia T
RICY.JK,Ricky Putra Globalindo Tbk
RIGS.JK,Rig Tenders Indonesia Tbk.
RIMO.JK,Rimo International Lestari Tbk
RODA.JK,Pikko Land Development Tbk.
ROTI.JK,Nippon Indosari Corpindo Tbk.
RUIS.JK,Radiant Utama Interinsco Tbk.
SAFE.JK,Steady Safe Tbk
SAME.JK,Sarana Meditama Metropolitan T
SCCO.JK,Supreme Cable Manufacturing & 
SCMA.JK,Surya Citra Media Tbk.
SCPI.JK,Organon Pharma Indonesia Tbk.
SDMU.JK,Sidomulyo Selaras Tbk.
SDPC.JK,Millennium Pharmacon Internati
SDRA.JK,Bank Woori Saudara Indonesia 1
SGRO.JK,Prime Agri Resources Tbk.
SHID.JK,Hotel Sahid Jaya International
SIDO.JK,Industri Jamu dan Farmasi Sido
SILO.JK,Siloam International Hospitals
SIMA.JK,Siwani Makmur Tbk
SIMP.JK,Salim Ivomas Pratama Tbk.
SIPD.JK,Sreeya Sewu Indonesia Tbk.
SKBM.JK,Sekar Bumi Tbk.
SKLT.JK,Sekar Laut Tbk.
SKYB.JK,Northcliff Citranusa Indonesia
SMAR.JK,Sinar Mas Agro Resources and T
SMBR.JK,Semen Baturaja (Persero) Tbk.
SMCB.JK,Solusi Bangun Indonesia Tbk.
SMDM.JK,Suryamas Dutamakmur Tbk.
SMDR.JK,Samudera Indonesia  Tbk.
SMGR.JK,Semen Indonesia (Persero) Tbk.
SMMA.JK,Sinarmas Multiartha Tbk.
SMMT.JK,Golden Eagle Energy Tbk.
SMRA.JK,Summarecon Agung Tbk.
SMRU.JK,SMR Utama Tbk.
SMSM.JK,Selamat Sempurna Tbk.
SOCI.JK,Soechi Lines Tbk.
SONA.JK,Sona Topas Tourism Industry Tb
SPMA.JK,Suparma Tbk.
SQMI.JK,Wilton Makmur Indonesia Tbk.
SRAJ.JK,Sejahteraraya Anugrahjaya Tbk.
SRIL.JK,Sri Rejeki Isman Tbk.
